0,7,Google Cloud Certified Professional Cloud Architect,Cloud Engineer
1,5,"Data Analyst,Fullstack Developer",Cloud Architect
2,7,"Data Analyst,Backend Developer,Frontend Developer,R Programming",Cloud Architect
3,4,"Data Engineer,Security+,CEH",Data Scientist
4,1,"Certified Ethical Hacker (CEH),Cloud Architect,DevOps Consultant",Cloud Engineer
5,2,"CPT,Data Analyst,Data Engineer,Security+,Information Security Analyst",Data Engineer
6,10,Certified Ethical Hacker (CEH),Cloud Engineer
7,6,"DevOps Consultant,R Programming,Certified Ethical Hacker (CEH)",Ethical Hacker
8,10,"Backend Developer,Data Engineer",Web Developer
9,8,"R Programming,Data Analyst",Data Scientist
10,6,"AWS Certified Cloud Practitioner,Cloud Architect,Frontend Developer,Data Analyst",Data Scientist
11,1,"Certified Information Systems Security Professional (CISSP),Data Engineer,Microsoft Certified: Azure Solutions Architect Expert,R Programming,Python Programming",Ethical Hacker
12,7,Cybersecurity Analyst,Information Security Analyst
13,4,"Data Analyst,Information Security Analyst,Certified Information Systems Security Professional (CISSP),Data Engineer",Ethical Hacker
14,8,"PMI-ACP,DevOps Consultant,Python Programming",Information Security Analyst
15,9,"Certified Ethical Hacker (CEH),OSCP,R Programming,CISA,CEH",Data Scientist
16,8,"Statistician,Information Security Analyst,CEH",Data Engineer
17,3,"CISA,CSS,CEH,DevOps Engineer,Cloud Architect",Software Engineer
18,8,OSCP,Software Engineer
19,10,"Cloud Architect,PMP",Data Scientist
20,8,"R Programming,R Programming,Machine Learning,Python Programming",Machine Learning Engineer
21,1,"Python Programming,CISA,DevOps Consultant",Web Developer
22,7,"Fullstack Developer,Microsoft Certified: Azure Solutions Architect Expert,R Programming,CPT",Cloud Engineer
23,6,"Information Security Analyst,Information Security Analyst,R Programming",Data Scientist
24,3,"CISA,Python Programming,Data Engineer",Ethical Hacker
25,4,"Backend Developer,Cloud Architect,Data Engineer,CSS",Web Developer
26,9,"Web Development,Cloud Architect,R Programming,Certified Information Systems Security Professional (CISSP)",Data Engineer
27,5,"PMP,Fullstack Developer",Information Security Analyst
28,7,"Cloud Architect,Microsoft Certified: Azure Solutions Architect Expert,Data Science,CSS,Data Engineer",Data Scientist
29,2,"DevOps Engineer,AWS Certified Cloud Practitioner",Ethical Hacker
30,7,"Cloud Architect,Google Cloud Certified Professional Cloud Architect,DevOps Engineer",Information Security Analyst
31,2,"Fullstack Developer,Microsoft Certified: Azure Solutions Architect Expert,PMI-ACP",Data Scientist
32,2,"Machine Learning Engineer,PMI-PBA,R Programming,CSS,Data Analyst",Data Scientist
33,4,"CEH,CEH,Data Engineer,PMP",Data Engineer
34,5,"PMP,Data Analyst",Data Scientist
35,1,Frontend Developer,Cloud Engineer
36,8,CPT,Data Engineer
37,4,"Data Engineer,PMP",Data Engineer
38,5,"CSS,HTML,Network Engineer,PMI-ACP",Ethical Hacker
39,7,"CISA,DevOps Consultant",Cloud Engineer
40,10,"Backend Developer,Statistician,Microsoft Certified: Azure Solutions Architect Expert,Statistician",Information Security Analyst
41,4,"PMP,CSS,Python Programming,Statistician,PMI-ACP",Web Developer
42,9,"Security+,Frontend Developer,HTML,R Programming,Certified Information Systems Security Professional (CISSP)",Ethical Hacker
43,6,"Statistician,Python Programming",Information Security Analyst
44,10,"PMP,Cloud Architect,Certified Ethical Hacker (CEH),Backend Developer,Python Programming",Web Developer
45,3,"CEH,OSCP",Information Security Analyst
46,5,"HTML,Statistician,Information Security Analyst,Cloud Architect",Project Manager
47,9,"DevOps Consultant,Certified Ethical Hacker (CEH)",Cloud Engineer
48,2,"Information Security Analyst,Statistician,Python Programming,Data Engineer,Data Engineer",Data Engineer
49,9,"Security+,AWS Certified Cloud Practitioner,Python Programming,Python Programming,Data Engineer",Data Scientist
50,8,"Information Security Analyst,Data Analyst",Data Scientist
51,10,"CEH,PMP,Backend Developer",Data Engineer
52,4,"Google Cloud Certified Professional Cloud Architect,Security+,Data Analyst",Data Scientist
53,5,"Frontend Developer,CEH",Web Developer
54,4,"Information Security Analyst,CSS",Web Developer
55,3,"Google Cloud Certified Professional Cloud Architect,Data Science,Data Analyst,HTML",Data Scientist
56,9,"R Programming,Data Analyst,Cloud Architect",Ethical Hacker
57,7,Python Programming,Ethical Hacker
58,7,"R Programming,Cloud Architect,R Programming",Data Engineer
59,4,"Cloud Architect,PMI-PBA",Information Security Analyst
60,10,"OSCP,Python Programming,SQL",Data Engineer
61,1,"CSS,Google Cloud Certified Professional Cloud Architect",Ethical Hacker
62,5,Backend Developer,Information Security Analyst
63,6,"Certified Ethical Hacker (CEH),CSS,OSCP,Data Analyst",Information Security Analyst
64,1,"PMI-ACP,Backend Developer,CEH",Information Security Analyst
65,4,"CPT,Machine Learning,Microsoft Certified: Azure Solutions Architect Expert,Fullstack Developer,PMI-ACP",Data Scientist
66,10,"R Programming,R Programming,SQL,CEH",Cloud Engineer
67,5,"Backend Developer,Certified Ethical Hacker (CEH),Information Security Analyst",Data Engineer
68,8,"SQL,CEH",Web Developer
69,10,"Google Cloud Certified Professional Cloud Architect,Cloud Architect,Data Analyst,PMI-PBA,Machine Learning Engineer",Data Scientist
70,1,"DevOps Consultant,DevOps Consultant",Data Engineer
71,7,"Data Analyst,AWS Certified Cloud Practitioner,Python Programming",Cloud Engineer
72,7,"R Programming,Python Programming,Security+,Data Engineer,CSS",Project Manager
73,6,"Data Engineer,CEH,PMP,Web Development,Backend Developer",Project Manager
74,6,"Network Engineer,PMP,Statistician",Web Developer
75,5,"Microsoft Certified: Azure Solutions Architect Expert,HTML",Software Engineer
76,1,"CSS,Information Security Analyst,Backend Developer,HTML",Data Scientist
77,7,"Cloud Architect,CISA,Data Engineer,Cloud Architect,Microsoft Certified: Azure Solutions Architect Expert",Project Manager
78,5,"Cloud Architect,Security+,Statistician,CSS,Python Programming",Project Manager
79,8,"CSS,R Programming",Data Scientist
80,4,"Statistician,Data Analyst",Cloud Engineer
81,2,"Google Cloud Certified Professional Cloud Architect,Data Analyst,R Programming,Python Programming,CISA",Cloud Engineer
82,1,"DevOps Consultant,Backend Developer",Data Scientist
83,6,"Security+,Python Programming",Data Scientist
84,6,Data Analyst,Web Developer
85,6,"OSCP,CEH,Data Analyst,Certified Ethical Hacker (CEH)",Data Engineer
86,9,"PMP,Microsoft Certified: Azure Solutions Architect Expert,Python Programming",Data Scientist
87,2,"Microsoft Certified: Azure Solutions Architect Expert,CISA",Cloud Engineer
88,1,"Google Cloud Certified Professional Cloud Architect,Certified Information Systems Security Professional (CISSP),Machine Learning Engineer",Cloud Engineer
89,2,Statistician,Ethical Hacker
90,1,"DevOps Consultant,Fullstack Developer,Cloud Architect",Web Developer
91,6,"Data Engineer,CISA,Backend Developer,Security+,Fullstack Developer",Data Engineer
92,5,"Information Security Analyst,Fullstack Developer,Statistician",Data Engineer
93,2,"AWS Certified Cloud Practitioner,DevOps Consultant,Data Analyst,OSCP",Project Manager
94,8,"Cloud Architect,Cloud Architect,Data Engineer",Data Engineer
95,6,"Cloud Architect,Security+",Cloud Engineer
